"","country","year","doc_text","doc_type","doc_number","doc_name"
"11","Hungary",1998,"# RESOLUTION NO. 94/1998/XII.29/ OF THE HUNGARIAN NATIONAL ASSEMBLY ON THE BASIC PRINCIPLES OF THE SECURITY AND DEFENSE POLICY OF THE REPUBLIC OF HUNGARY  The Hungarian National Assembly  1. approves the basic principles of the security and defense policy of the Republic of Hungary.  2. requests the Government to report at least once a year to the National Assembly on the implementation of tasks related to security and defense policy.  3. The present resolution will enter into force on the day of the entry into force of § 2 of the Act on the accession of the Republic of Hungary to the North Atlantic Treaty Organization and on the promulgation of the latter. At the same time, Resolution No. 11/1993/III.12/ on the basic principles of the security policy of the Republic of Hungary and Resolution No. 27/1993/IV.23/ on the principles of the national defense of the Republic of Hungary of the National Assembly will be annulled.  **THE BASIC PRINCIPLES OF THE SECURITY AND DEFENSE POLICY OF THE** **REPUBLIC OF HUNGARY.**  In the course of the past few years, changes of fundamental importance have taken place in the external security situation of the Republic of Hungary, to a decisive extent as a result of the achievements made in the field of Euro-Atlantic integration. With the achievement of membership in NATO and the practical advancement of the process of accession to the European Union, the country has also institutionally become a member of the community of democratic, developed and stable nations of the Euro-Atlantic region. All this requires the basic principles of the security and defense policy of the Republic of Hungary to be redefined.  1. The Republic of Hungary defines security in a comprehensive sense, which includes, beside the traditional political and military factors, also other dimensions of security as defined in a broader sense – that is, its economic and financial, human and minority rights, information- and technology-related, environmental as well as international legal dimensions. In the world of global challenges, international political and economic mutual interdependence and technological development, the security of the Euro-Atlantic region has become indivisible.  2. As compared to the age of the bipolar international system, the threat of a worldwide armed conflict has decreased to a minimum while at the same time, the circle of risks and sources of threat has significantly increased and become more complex. Hungary’s security is influenced mainly by the development of security in the Euro-Atlantic region and the political, social and economic processes taking place in its region. However, the country must not consider itself immune to the global sources of threat, either. Its membership in an alliance system will bring about additional responsibilities and at the same time, increased opportunities in the context of handling the latter.   ","page",1,"hungary_1998_SecurityDefensePolicy"
"12","uk",1998,"  techniques to the procurement of defence equipment. Too often in the past our new equipment has been too expensive and delivered too late. That is why, as part of the Review, we asked a team from industry, the Services and the consultants McKinsey to study the best ways to learn from companies in areas as diverse as oil exploration and car production, in our search for better ways to provide equipment. Their conclusions will lead to a fundamental overhaul of our procurement processes in my Smart Procurement Initiative.  18. Underpinning the changes to our forces is our reinforced international commitment. NATO will continue as the cornerstone of our defence planning, and we intend to build on our role as a leading European member of the Alliance. Our commitment to the United Nations, through our permanent membership of the Security Council, is also strengthened. We support efforts to help make the UN a more effective tool in resolving international problems. We are also prominent members of the OSCE and the WEU.  19. The British are, by instinct, an internationalist people. We believe that as well as defending our rights, we should discharge our responsiblities in the world. We do not want to stand idly by and watch humanitarian disasters or the aggression of dictators go unchecked. We want to give a lead, we want to be a force for good.  20. That is why the Government is committed to strong defence, and sound defence is sound foreign policy. As Kofi Annan, the UN Secretary General, said ""You can do a lot with diplomacy but, of course, you can do a lot more with diplomacy backed up with firmness and force"". It is my strong belief that the Strategic Defence Review will deliver Modern Forces for the Modern World which will enable Britain to achieve a ""lot more"" in the 21st century.  Ministry of Defence  July 1998   ","page",7,"uk_1998_StrategicDefenceReview"
"13","Romania",1999,"  The System of National Security defines the assembly of means, regulations and institutions of the Romanian state that play a part in achieving, safeguarding, and asserting Romania’s fundamental interests.  The Strategy represents the basic document that defines these interests, as well as the objectives for their achievement, and materializes the political expression and highest level settlement of the Romanian State, and at the same time, the instrument for substantiating and directing the actions within the whole system of national security.  The Strategy has horizon of evaluation over medium term comprising the predictable elements – at the moment – which influence the achievement of the goals of Romania’s national security.  **1. Romania’s National Security Interests**  Romania’s national interests represent those states and processes, based on the values assumed and pursued by the Romanian society, by which it ensures the prosperity, protection and safety of its members and the stability and continuity of the state.  Building a democratic Romania, politically stable and economically and socially prosperous, capable of efficiently taking part in the dynamics of international life makes it necessary that in full agreement with the development of the process of European and Euro-Atlantic integration, the following national interests should be asserted, achieved and safeguarded:  -  The maintenance of the integrity, unity, sovereignty and independence of the Romanian state;  -  Guaranteeing the fundamental and democratic freedoms, and ensuring the welfare, security and safety of Romania’s citizens;  -  The economic and social development of the country, in keeping up with the contemporary development in the world. Intense reduction of the wide gaps separating Romania from the developed European countries;  -  Meeting the conditions for Romania’s integration as a NATO and EU member. Romania must become a component with full obligations and rights of the two organizations, the only ones capable of guaranteeing its independence and sovereignty and enable an economic, political and social development similar to that of the democratic countries;  -  Asserting the national identity and pursuing it as a democratic value, making best use of and developing the national cultural heritage and the creative abilities of the Romanian people;  -  Protection of the environment, natural resources, the quality of the environmental factors at international standards.  In the pursuit of its national interests, Romania will follow the principles of international law, will develop the dialogue and cooperation with all international organizations and states interested in achieving stability and security.  **2. National Security Policy Goals**  Romania’s national security goals articulate the effective orientation and represent the basic landmarks of the practical, sectorial action of the various state institutions so that their coherent, correlated and interdependent realization shoul contribute to the accomplishment and assertion of the fundamental interests of the country.   ","page",3,"romania_1999_NationalSecurityStrategy"
"14","Belgium",2000,"**THE MODERNISATION PLAN 2000 – 2015 OF THE BELGIAN ARMED**  **FORCES.**  # The Belgian context  -  Belgium, yesterday a unitary country today a federal one, is composed of different linguistic communities and is characterised by institutions of great complexity in order to increase the autonomy of the different consisting regions. Confronted with never ending arbitration, it has cultivated the art of compromising up to excess.  -  For a long time Belgium has cherished a neutral policy, but in spite of its doing so it has been involved in the two major conflicts of this century and has made, by necessity, the realistic and pragmatic choice of enlisting in the defensive alliances (NATO, WEU). From this moment on Belgium has always been a precursor in the Europeanization of defence and security matters.  -  A part of our armed forces lived in Germany for almost fifty years and few are the cities in Belgium that have lived in the wake of military activity.  -  and finally, Belgium is a small country  -  better than big countries do, it spontaneously acknowledges its own limitations and feels the need of co-operation and anchorage in a more vast entity;  -  it realises that even if big countries have more impact on international organisations it is better to be part of these and be entitled to give its opinion;  -  it is easier for Belgium to take radical decisions. It sometimes behaves as a forerunner in certain matters, adopting a more flexible and trend setting approach. To give you some examples: the decision taken in 1992 to suspend the conscription and turning the armed forces into an allvolunteer force, or the voting of the law prohibiting antipersonnel mines in 1996.  # The preceding reform phases: why did we restructure in the past?  We did so for different reasons.  -  First of all there are the geopolitical and geo-strategic reasons : the  dramatic changes in the geopolitical environment since the fall of the Berlin wall in 1989 and the collapse of the USSR in 1991 : the end of the cold war, the changes in types of threats and the redefinition by international organisations of new concepts as to security and defence, the multiplication of operations abroad in the framework of regional conflicts are certainly some major reasons why Belgium has restructured its armed forces thoroughly, reducing it and transforming it.   ","page",1,"belgium_2000_ModernizationPlan"
"15","Estonia",2000,"  INTRODUCTION .................................................................................................3 1. FOUNDATIONS AND GOALS OF ESTONIA’S SECURITY POLICY. ESTONIA’S SECURITY RISKS..........................................................................3 1.1. Current developments in security policy and Estonia’s security environment.............................................................................................3 1.2. Foundations and goals of security policy........................................................5 1.3. Major guidelines and basic documents of security policy. .............................6 1.4. Estonia’s security risks. ..................................................................................8 2. ESTONIA’S FOREIGN AND SECURITY POLICY. INTEGRATION AND INTERNATIONAL COOPERATION..................................................................9 2.1. Integration with NATO.................................................................................10 2.2. Integration with the European Union and the evolving European Security and Defence Policy..............................................................................................11 2.3. Co-operation with the Western European Union (WEU) .............................12 2.4. Bilateral and multilateral relations in security policy...................................13 2.4.1. Relations with Latvia and Lithuania ..........................................................14 2.4.2. Relations with the Nordics.........................................................................14 2.4.3. Relations with the Russian Federation.......................................................15 2.5. Co-operation with international organisations ..............................................16 2.6. Contribution to international peacekeeping and security enhancing efforts; development aid ……………………………………………………………….. 16 2.7. Participation in arms control and confidence building measures .................17 2.7.1. Confidence and Security Building Measures.............................................17 2.7.2. European arms control and the Treaty on Conventional Forces in Europe18 2.7.3. Disarmament and arms control..................................................................18 3. DOMESTIC ACTIVITIES ..............................................................................19 3.1. The role of defence in ensuring security.......................................................20 3.1.1. Estonia’s defence policy............................................................................20 3.1.2. The role of the Estonian Defence Forces (EDF) in implementing defence policy....................................................................................................................21 3.1.3. Integrating defence into the society...........................................................22 3.2. Strengthening the rule of law and integrating national minorities................22 3.3. Bolstering the free market economy.............................................................23 3.4. Strengthening internal security.....................................................................25 3.4.1. Maintaining law and order .........................................................................26 3.4.2. The role of intelligence agencies in ensuring security...............................26 3.4.3. Guarding borders........................................................................................27 3.4.4. Rescue operations ......................................................................................27 3.4.5. National Security Stockpiles......................................................................28 3.5. Healthcare policy and health risks prevention..............................................29 3.6. Agricultural policy........................................................................................29 3.7. Environmental policy....................................................................................30   ","page",2,"estonia_2000_NationalSecurityConcept"
"16","Netherlands",2000,"  Antilles and Aruba;  -  advancing the international rule of law and stability;  -  assisting the civil authorities in the context of law enforcement, disaster relief and humanitarian aid, both nationally and internationally.  The level of ambition for the Dutch armed forces laid down in the Government Policy Accord comprises contributions to NATO in the framework of collective defence and participation in a maximum of four peacekeeping operations simultaneously with battalion-sized units or their equivalent, if necessary for a period of three years. This is in keeping with the ambitions and capabilities of a country such as the Netherlands and expresses our commitment to international involvement. The level of ambition is determined to a great extent by the sum total of military capabilities which our country can make available to international alliances for collective defence and for crisis management, peacekeeping and humanitarian operations. The defence plans outlined in this White Paper describe the military capabilities necessary to fulfil the demands laid down in the Government Policy Accord. The large variety of missions requires a large variety of modules. However, theory and practice part company when it comes to the number of deployed units actually required and the actual duration of the deployment. This is illustrated by what has occasionally been a sizeable deployment in Bosnia and Kosovo over the much longer period of three years. The armed forces have a wide range of choices with regard to the assets which may be deployed for peacekeeping operations. A priority in this respect is that the armed forces must be organised and equipped for the general defence tasks. There must be some margin to enable the armed forces to function well and to allow a certain amount of political freedom of choice.  To carry out the tasks defined above, the armed forces must be capable of the following:  -  general defence in a NATO context, which may involve mobilisation of reserve units;  -  participation for a limited duration in a peace-enforcement operation with a brigade or its equivalent (e.g. a maritime task group, three squadrons of fighter aircraft, or a combination of these units);  -  sustained participation in a maximum of four peace operations involving contributions at battalion level or its equivalent (e.g. a squadron of fighter aircraft or two frigates);  -  national military tasks, such as the protection of the integrity of national territory, coastal waters and air space;  -  civilian government tasks, such as police tasks carried out by the Royal Marechaussee (border control, mobile monitoring of aliens and security on aviation premises) and providing military assistance in helping to carry out civil   ","page",4,"netherlands_2000_SummaryOfDefenceWhitePaper"
"17","South Korea",2000,"Security Situation Overview  Since the end of the Cold War, the global security situation has shown two opposing trends. One is toward peace, sustained by an increase in cooperation and reconciliation, and the other toward insecurity caused by ongoing regional conflicts and the proliferation of weapons of mass destruction (WMD).  On December 3, 1989, the United States and the former Soviet Union made a joint declaration, calling for ""an official end to the Cold War between the eastern and the western blocs and for a start of a new age of cooperation for lasting peace."" Positive results ensued. The eastern Europeans and the Third World adopted democracy and opted for a free market system. Further, an increasing number of countries began to resort to non-violent means to resolve inter-state disputes.  However, the problems that lay dormant during the Cold War have resurfaced and, along with many new ones, are emerging as the latest threats to global security. Foremost are the frequent communal disputes, be they racial, religious, ethnic, or territorial. The countries labeled ""States of Concern"" are a constant threat, as they refuse to cease production of WMDs such as nuclear, biological, and chemical weapons. In addition, problems on a transnational level, including environmental pollution, drug trafficking, terrorism, and refugee issues are also on the rise.  As the world's sole superpower, the United States is dealing with the security issues by way of bilateral alliances and collective security establishments like the North Atlantic Treaty Organization (NATO). The US is expected to remain the primary stabilizing force around the globe in the new millennium, despite challenges from Russia and China, who frequently express opposing views on some of the most controversial issues facing the international community.  The new millennium will also witness the United Nations enlarge its sphere of activity, as it pushes for a speedy conclusion to several important negotiations to reduce strategic and conventional weapons. A strict enforcement of the terms of these negotiations is another key concern of the organization. At the grassroots level, the UN works for stability via peacekeeping operations, sending trained men and women to areas of conflict.  #","section",25,"southkorea_2000_DefenseWhitePaper"
"18","Spain",2000,"  ### INDEX  _Page_  **FOREWORD BY THE PRESIDENT OF THE GOVERNMENT** ........................................... 9  **PREFACE BY THE MINISTER OF DEFENCE .........................................................................** 13  **INTRODUCTION ..........................................................................................................................** 23  **CHAPTER I. THE STRATEGIC ENVIRONMENT** ................................................................ 27  — Globalisation of the strategic environment ....................................................................... 29 — The European security environment.................................................................................. 30 — Risks on the horizon ............................................................................................................. 34 — The new profile of conflicts ................................................................................................. 36  **CHAPTER II. THE WESTERN RESPONSE TO THE STRATEGIC ENVIRONMENT..** 41  — The allied strategy................................................................................................................. 43  -  The 1999 Strategic Concept ............................................................................................. 44  -  The European Security and Defence Identity within NATO..................................... 46  -  The challenge of enlargement......................................................................................... 47  — Europe and defence............................................................................................................... 48  -  Towards a Common Defence Policy.............................................................................. 49  -  Institutional Interaction between the European Union and the Atlantic Alliance. 52  **CHAPTER III. SPANISH DEFENCE POLICY.........................................................................** 55  — The Spanish strategic conception........................................................................................ 56  -  The universalistic perception of Spain’s world presence ........................................... 57  -  Protecting Spanish interests ............................................................................................ 57  -  Shared security and collective defence.......................................................................... 58   Defence White Paper Page 5   ","page",3,"spain_2000_DefenceWhitePaper"
"19","Turkey",2000,"  **PART ONE**  **SECTION ONE**  **GENERAL**  The most important problem today is to make peace and stability permanent. Today, in the shrinking world environment, the importance of organizations, such as the United Nations (UN) in the lead, followed by the North Atlantic Treaty Organization (NATO), Organization for Security and Cooperation in Europe (OSCE), European-Atlantic Partnership Council (EAPC), Mediterranean Dialogue and the Western European Union (WEU), have increased and the need for coordinated activities between them has become prominent. Particularly, security organizations such as NATO and WEU, have acquired an even greater importance in the realization of this goal. In the region, the activities for NATO's preservation of the Euro-Atlantic ties and for attaining a flexible character in its military structure, the attempts of the European allies for assuming a more visible role in the defense field and the subjects of the development in the European Security and Defense Identity (ESDI), have become prominent as the significant dimensions of the transformation process being experienced. After the Czech Republic, Poland and Hungary joined NATO, at the 1999 NATO Washington Summit, a Membership Action Plan was proposed to nine countries composed of Bulgaria, Romania, Estonia, Latvia, Lithuania, Slovenia, Slovakia, Macedonia and Albania, and the standards for membership have been determined. Furthermore, in the Amsterdam Treaty, which went into effect in May 1999, it was targeted to develop closer organizational relations between the European Union (EU) and the WEU within the framework of the European Common Foreign and Security Policy (CFSP). A need for a European Security Architecture emerged that would be composed of organizations which would mutually support and complement each other after the evaluation that the European security could not be provided solely by NATO and/or the WEU. The relations between NATO, WEU, OSCE, EAPC, NATO-Russia and NATO-Ukraine and the EU are the cornerstones of this architecture. The Partnership for Peace (PfP) Program, started in 1994, has acquired a new dimension with the steps taken at the Washington Summit towards making the relations of NATO-PfP countries more effective under the name of ""Enhanced and More Operational Partnership"". The PfP program is of importance from the aspect of NATO's establishment of a cooperation with the new democracies focused on security. Turkey places great importance on the PfP activities, that will provide contributions to regional and world peace within the principles of the EAPC. Within this framework, the Educational Center for the Partnership for Peace (ECPfP) has been established in Turkey. As for NATO's Mediterranean Dialogue, which was initiated in 1994 with the participation of Israel, Jordan, Egypt, Tunisia, Morocco, Mauritania, and finally Algeria, is another activity that Turkey considers to be important and NATO is continuing its functions successfully for the prevention of misinterpretations, which could be formed in the Dialogue   ","page",4,"turkey_2000_DefenseWhitePaper"
"20","serbiaandmontenegro",2000,"  _uopu Cpouje u Upnc Pope y o6jiaciuu ogopcme u_ _area of defence and points out the problems which_ _uciuciKHViuu upoo.ieMU ca KOJUMCI ce cyonaaa gp-_ _the State Union faces in striving to overcome obsta-_  _MiirtHtt .jajecjHuna y upesjiagaaai-hy iiCKyiuerha y_ _cles in the process of reforming the defence system._  _upou,ec\' pctpopMC CUCIUCMU oydpcme._  _The document contains basic information about_  _cagp.wu ocHoane umpop.Maiuije o_  _our security environment, security challenges, risks_ _and threats, the defence policy, the defence potential,_  _u UpeiUHyUMa OesoecjHociuu, uojiumiiim oydpane,_  _the organisation, management, funding, control and_  _uouicHinijiLauMa, op laHusaiaiju,_  _development of the defence system of Serbia and_  _y, (puHancupai+>y, KomUpojiu u ptusojy_  _Montenegro._  _cuciUcMa ou6pane Cpouje u llpne Fope._  _The projected defence svstem should be rational and_  _npoJ€Kiuo6aHu cuclTiCM ogopcme iiipeda cja oy-_  _cje panuoi-HLiaH u ecjyuKac.au u ga OMoiytni aKiuu-_ _efficient, and should make possible our active contri-_ _6UH yoHpuHoc ()Hy6(tH>y Miipa u ciUaou.iHociuu y_ _bution to the preservation of peace and stability in the_  _peluoHV, Kao u pasdoj u ynaupel}Uff(iH>cj_ _uapTRHep-_ _region, as well as the development and improvement of_  _CKUX ognoca ca ogiosapajyhiiM_ _partnership relations with the corresponding institu-_ _cucmeMa KOjieKmiittHt? 6c36egnocuiu._ _tions of the collective security system._  _By acceding to Euro-Atlantic integrations, first of_  _up&eHcniaeHO HATO_ _FFpolpaMy_  _all, the NATO ""Partnership for Peace "" programme,_  _„ FlapuiHepcmtio 3d Miip "", iloeehaaa ce oesoeg-_  _we shall increase the level of security in the region,_  _nocm y peiuony, jana ogopciMoena cuocodnociu_  _increase the defence ability of Serbia and Montene-_  _Cpouje u Hpnc Fope u upoMoaumv espoucKe u_  _gro and promote European and Euro-Atlantic val-_  _espt wTTuiaHiucKe HpegHOcmu._  _ues._  _y uepiioc/v KOJU je Upcg naMa UMahemo lipujiu-_  _In the period which lies ahead, we shall have the_  _R'y gci, v uponecy upucuiyuau>a_ _UOJIUIUUHKUM,_  _opportunity, in a process of accession to political,_  _eKOHOMCKiiM u 6e3oegHOCHUM_ _immeipaiuijaMa,_  _pecpopjuuuieMO cucmcM ogopam upe.wu HUIUUM_ _economic and security integrations, to reform our_  _uoulpeoaMa u MoIytinoculuMa u eapoai_ _defence system in accordance with our needs and_ _CKUM ciUangapguMa._ _possibilities, as well as the Euro-Atlantic standards._  _He cyMHjdM ga HCMO y IUOMC u ycueulu._ _1 do not doubt that we shall succeed in this._  _MHHHCTAP_ _OHEPAHE_ _DEFENCE_ _MINISTER_  _yp I7p6ocjiaK Jjammuh_ _Prvoslav Davinic, Ph.D._   ","page",7,"serbiaandmontenegro_2000_WhitePaperOnDefence"
"21","Finland",2001,"  **SUMMARY**  Introduction  The Government report ""The European Security Development and Finnish Defence"", submitted to Parliament in 1997, outlined developments in the European security environment and their impact on Finland. It went on to define the principles for developing Finland's defence up to 2008 on the basis of an assessment of the international situation and as part of Finland's overall security policy. The report proposed that the structural changes in Finland's defence system should be reviewed at intervals, the first review planned for 2001, and that a comprehensive report on the long-term plans for Finland's defence system should be made no later than 2005.  The Parliamentary Defence and Finance Committees submitted their comments on the report to the Foreign Affairs Committee. Parliament subsequently approved the Foreign Affairs Committee's report, augmented with supplementary statements on Defence Forces' personnel and garrisons having lost conscript training.  An important change in the preparation of security and defence policy occurred when the Defence Council was abolished on March 1, 2000. The Council's duties were reallocated to the Government Committee on Foreign and Security Policy and the Ministry of Defence. The former was made responsible for important matters concerning total national defence and coordination of these matters, while the Ministry of Defence was given the new responsibility of coordinating the actions of different branches of government in matters of total national defence. A new Security and Defence Committee was set up at the same time, with the task of assisting the Ministry of Defence and the Government Committee on Foreign and Security Policy in these matters. The new committee was also given the task of coordinating the preparation of the 2001 report.  The long-term development of Finland's security policy and defence recommended in the 1997 report require that preparation of the following comprehensive report be brought forward to 2004. The report will also assess the defence system as a whole in the light of developments in the security environment and society in general.  The security environment and Finland's policy  In the international environment, the democratic reforms and stabilization in Europe following the end of the Cold War are continuing, with the European Union playing a key role. By acquiring new means for crisis management, the EU will increase its influence not only as a political and economic force but also as an actor in the field of security policy. At the same time, the EU will be developing its capacity to prevent security problems from arising and to strengthen security in a broad sense. Enlargement of the Union will significantly improve the prospects for wellbeing and security beyond the present EU boundaries and will be a key means of achieving stability and unification in Europe.  The importance of cooperation between the EU and Russia for the future of Europe is continually growing. As a result of the EU's common security and defence policy, its relations with the United States will acquire more substance in the field of security policy. Security in the Baltic Sea region will improve as a result of regional cooperation and the overall changes occurring within Europe. This will be shaped by the enlargement of the EU and of NATO and developments in relations between Russia and the Baltic States.   ","page",4,"finland_2001_SecurityAndDefencePolicy"
"22","Slovakia",2001,"  -  the principle of the sovereign right to guarantee one's own security, which emanates from the natural right of the Slovak Republic to individual and collective defense according to the Charter of the Organization of the United Nations; it expresses the right to freely decide on one's own security on the basis of sovereign equality, the right of free choice of the forms of one's own security with the sovereign right to belong or not to belong to international and supranational organizations,  -  the principle of complexity, which accepts the importance and mutual influence of several factors, especially political, defense, internal-security, economic, social and environmental factors in the security policy of the Slovak Republic,  -  the principle of engagement, which expresses the active attitude of the Slovak Republic and the decision not to remain only a passive consumer of the advantages of international security co-operation,  -  the principle of indivisibility of security, on the basis of which the Slovak Republic will not realize such measures for the strengthening of its own security which would endanger the security of other states,  -  the principle of prevention, which expresses the resolve of the Slovak Republic to adopt effective measures aimed at preventing risks and threats to its security, their timely identification and elimination,  -  the principle of compatibility of the security policy of the Slovak Republic with its constitutional-legal order and international legal standards and agreements to which the Slovak Republic has accepted,  -  the principle of a co-ordinated approach, which requires a purposeful management of all capabilities and resources necessary for guaranteeing security at the national and supranational level,  -  the principle of continuity and credibility, which expresses the continuity, irrefutability, stability and credibility of the security policy of the Slovak Republic,  -  the principle of responsibility and obligation of state organs and organs of local governmental bodies, legal and physical entities and all citizens to participate in the realization of the security policy of the state,  -  the principle of environmental security.  AREAS AND INSTRUMENTS FOR THE REALIZATION OF THE SECURITY POLICY OF THE SLOVAK REPUBLIC  33. In accordance with the abovementioned goals and principles, the security policy of the Slovak Republic is being realized in two basic areas:  -  in the area of shaping the security environment,  -  in the area of deepening the ability and readiness to respond to the challenges, risks and threats to its interests and to addressing crisis situations.  SHAPING THE SECURITY ENVIRONMENT  34. The Slovak Republic attaches great importance to shaping and influencing a stable security environment, in which favorable conditions are created for the realization of its vital and important interests. To this end it will utilize all available and effective options and means, especially measures aimed at prevention and those that strengthen global, European, regional and internal security and deepen international co-operation and enforcement of principles of international law and a state's respect for the rule of law.  -  Prevention and strengthening of global, European and regional security  35. The Slovak Republic will develop its participation on those global political, economic, environmental, social and cultural integration trends of the present world, which have a determining significance on the shaping of its security environment. It will continue to pay special attention to the development of relations with the Organization of the United Nations, which it considers the most important forum for multilateral co-operation. The Slovak Republic will therefore support the enhancement of mechanisms of the activities of the United Nations that contribute to the increase of its powers and making its work more effective. It will direct its activity in the United Nations towards solutions of issues such as improvement in the quality of the environment, lowering the tension between the developed and the developing world, disarmament, and co-ordination of the fight against organized crime and international terrorism. It will continue to take part in peace and humanitarian operations.  36. The Slovak Republic considers NATO and EU to be decisive factors of guaranteeing security, stability and prosperity in Europe and in the entire Euro-Atlantic area, for the present as well as with an outlook into the future, and it is preparing for membership in these organizations. In the interest of the development of co-operation in European security, the Slovak Republic is active in the realization of the conclusions of the European Security Charter. It will continue to actively participate in the activities of the Organization for Security and Co-operation in Europe in preventing an emergence of tensions, in crisis management and in post-conflict stabilization.   ","page",6,"slovakia_2001_SecurityStrategyOfTheSlovakRepublic"
"23","Croatia",2002,"  3. Today’s world features quick and dynamic changes in international relations. Although the world’s collective security structure has been preserved after the failure of a bipolar world order through the system of the Organisations of the United Nations, relations between leading players in international relations have thoroughly been changed. Most events in the fields of economy, defence, security, society and others are defined by two contradictory processes. On one hand we have globalization as a process of unifying various administrating systems and cultures, resulting in the unity of value systems, political order and technology, on the other hand there is a process underway which is strengthening all forms of individual identity – national, regional, cultural, religious and others. The Republic of Croatia is part of this new reality and wishes to actively participate in its shaping – in accordance to its capabilities and interests. Under these conditions the principle of non-shareable security is becoming more and more significant – there is no strengthening of one’s own security at the expense of another’s security. At the same time risks and threats cannot be efficiently handled without joint cooperation and assistance. New challenges seek new solutions.  4. The Republic of Croatia’s security environment is defined by specific factors which have a determining effect on its current position. First of all, Croatia was in a transition towards a democratic society and market economy during its first stage which was marked with armed aggression with the goal of preventing Croatian independence. Most economical difficulties which we face today, as well as most security risks, are results, mostly directly, from the mentioned environment. Nonetheless, today’s security environment is more favourable than it has been in the last ten years.  5. The instability of a part of its environment, which is only at the beginning of its socialeconomic transition, poses a security challenge for the Republic of Croatia. However, this instability no longer poses a direct threat to security.  6. Six years after the signing of the Dayton Accord, Bosnia and Herzegovina is still under the intense administrative supervision of the international community. The central state administration does not function at a level required for successfully governing a state. The position of Croatians in Bosnia and Herzegovina is sensitive, among other things, because of their small number. The return of refugees and displaced persons (one of the main preconditions for normalizing life and society as a whole) is not being conducted proportionately. An obvious disproportion exists between national entities.  7. After parliamentary and presidential elections, held in October, 2000, the Federal Republic of Yugoslavia, which was the main cause of regional instability during the previous ten years, no longer poses an immediate threat to security but is now a potential partner. Bilateral relations have been normalized and their development is expected, with good reason, through various forms of bilateral and regional cooperation. A more active role is required from the Republic of Croatia in order for the entire region of Southeastern Europe to grow into a zone of partnership, stability and economic progress.  8. Croatia’s environment also includes stable and consolidated democracies. Some have reached a degree of advanced transition and are at the verge of becoming European Union member states. Hungry has been a member of NATO since 1999 and this represents a significant contribution to regional stability. Others are involved in European integrations, i.e., Euro-Atlantic associations. All of these countries represent important markets for Croatian goods and services and are key partners in all aspects. During the last decade,   ","page",2,"croatia_2002_StrategyForNationalSecurity"
"24","Italy",2002,"  Pubblicazioni Centro Studi per la Pace  www.studiperlapace.it  ____________   **INDICE**  **PARTE I**  **LA SITUAZIONE: DALLA MINACCIA AL RISCHIO**   **PREMESSA**   **1.1 EVOLUZIONE DEL QUADRO GEOSTRATEGICO E DELLE MISSIONI DELLE FORZE** **ARMATE**  **1.2 IL QUADRO MONDIALE ED I SOGGETTI DELLA POLITICA INTERNAZIONALE: ONU, UEO,** **UE, NATO, OSCE** 1.2.1 Generalità  1.2.2 L’Organizzazione delle Nazioni Unite (ONU)  1.2.3 L’Organizzazione del Trattato del Nord Atlantico (NATO)  1.2.3.1 Il Nuovo Concetto Strategico della NATO  1.2.3.2 La “nuova” NATO  -  Il processo di “adattamento esterno”  -  Il processo di “adattamento interno”  l Revisione della Struttura di Comando  l Revisione della struttura delle Forze  l DCI - Defence Capabilities Iniziative  1.2.4 L’Organizzazione per la Sicurezza e la Cooperazione in Europa (OSCE)  1.2.5 L’Unione Europea Occidentale (UEO)  1.2.6 L’Unione Europea  1.2.6.1 Il processo evolutivo della Difesa Europea  1.2.6.2 Gli sviluppi futuri della Difesa Europea  **1.3 IL PROCESSO INNOVATIVO DELLA DIFESA NAZIONALE** 1.3.1 Relazioni Politiche Militari  1.3.2 I regimi di disarmo e non proliferazione  -  Generalità  -  Il Trattato CFE  -  Il Documento di Vienna  -  Gli Accordi di Dayton  -  Il Patto di Stabilità  -  La convenzione di Ottawa sul bando delle mine antiuomo  -  La Convenzione sulla Proibizione delle Armi Chimiche  -  Small Arms And Light Weapons (SALW)  -  Il Trattato Open Skies  -  L’ High Level Group della NATO  -  Il NATO Senior Defence Group on Proliferation (DGP)  -  La Convenzione per il Bando delle Armi Biologiche (BIOLOGICAL  WEAPON CONVENTION – BWC)  **PARTE II**  **LA DIFESA**   **2.1 LA LINEA DI COMANDO** 2.1.1 Il Capo dello Stato  2.1.2 Il Consiglio Supremo di Difesa  2.1.3 Il Parlamento  2.1.4 Il Presidente del Consiglio dei Ministri  2.1.5 Il Ministro della Difesa   ","page",2,"italy_2002_LibroBianco_noneng"
